url, team1, team2, win_toss, bat_or_bowl, outcome, win_game, date, day_n_night, ground, rain, duckworth_lewis, match_id, type_of_match
"espncricinfo-fc/1119549.html","","","","","","","Full Scorecard of England vs India 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1152848.html","","","","","",""," ICC World Test Championship 3rd Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1146718.html","","","","","","","Full Scorecard of West Indies vs Bangladesh 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1197138.html","","","","","","","Full Scorecard of Bangladesh vs Afghanistan Only Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1170368.html","","","","","","","Full Scorecard of Sri Lanka A vs Ireland A 2nd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1151966.html","","","","","","","Full Scorecard of Sri Lanka Under-19s vs India Under-19s 2nd Youth Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1072308.html","","","","","","","Full Scorecard of Australia vs England 4th Test 2017 - Score Report ","1","","0","0","","FC"
"espncricinfo-fc/1169344.html","","","","","","","Full Scorecard of India A vs England Lions 2nd unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1119553.html","","","","","","","Full Scorecard of England vs India 5th Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1188629.html","","","","","",""," ICC World Test Championship 2nd Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1075984.html","","","","","","","Full Scorecard of South Africa vs Australia 3rd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1144154.html","","","","","","","Full Scorecard of South Africa vs Pakistan 2nd Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1183531.html","","","","","",""," ICC World Test Championship 2nd Test - Score Report ","1","","0","0","","FC"
"espncricinfo-fc/1157390.html","","","","","","","Full Scorecard of Pakistan A vs New Zealand A 1st unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1164222.html","","","","","","","Full Scorecard of New Zealand A vs India A 3rd unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1183530.html","","","","","",""," ICC World Test Championship 1st Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1157391.html","","","","","","","Full Scorecard of Pakistan A vs New Zealand A 2nd unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1158064.html","","","","","","","Full Scorecard of West Indies vs England 3rd Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1144155.html","","","","","","","Full Scorecard of South Africa vs Pakistan 3rd Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1172964.html","","","","","","","Full Scorecard of Bangladesh Under-19s vs England Under-19s 2nd Youth Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1188628.html","","","","","",""," ICC World Test Championship 1st Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1075985.html","","","","","","","Full Scorecard of South Africa vs Australia 4th Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1142582.html","","","","","","","Full Scorecard of Sri Lanka vs South Africa 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1192874.html","","","","","",""," ICC World Test Championship 2nd Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1153311.html","","","","","","","Full Scorecard of Bangladesh vs West Indies 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1119552.html","","","","","","","Full Scorecard of England vs India 4th Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1127284.html","","","","","","","Full Scorecard of Ireland vs Pakistan Only Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1149177.html","","","","","","","Full Scorecard of Bangladesh A vs Sri Lanka A 1st unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1201025.html","","","","","","","Full Scorecard of Sri Lanka A vs Bangladesh A 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1072309.html","","","","","","","Full Scorecard of Australia vs England 5th Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1135149.html","","","","","","","Full Scorecard of West Indies vs Sri Lanka 1st Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1115793.html","","","","","","","Full Scorecard of New Zealand vs West Indies 1st Test 2017 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1153848.html","","","","","","","Full Scorecard of New Zealand vs Bangladesh 2nd Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1187007.html","","","","","",""," ICC World Test Championship 1st Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1152849.html","","","","","",""," ICC World Test Championship 4th Test - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1190804.html","","","","","","","Full Scorecard of West Indies A vs India A 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1157371.html","","","","","","","Full Scorecard of Australia vs Pakistan 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1122725.html","","","","","","","Full Scorecard of India vs Sri Lanka 3rd Test 2017 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1183600.html","","","","","","","Full Scorecard of India A vs Sri Lanka A 1st unofficial Test 2019 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1165040.html","","","","","","","Full Scorecard of England Lions vs Pakistan A Only unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1149178.html","","","","","","","Full Scorecard of Bangladesh A vs Sri Lanka A 2nd unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1164221.html","","","","","","","Full Scorecard of New Zealand A vs India A 2nd unofficial Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1135150.html","","","","","","","Full Scorecard of West Indies vs Sri Lanka 2nd Test 2018 - Score Report ","0","","0","0","","FC"
"espncricinfo-fc/1072306.html","","","","","","","Full Scorecard of Australia vs England 2nd Test 2017 - Score Report ","1","","0","0","","FC"
"espncricinfo-fc/1122545.html","","","","","","","Full Scorecard of West Indies A vs England Lions 3rd unofficial Test 2018 - Score Report ","1","","0","0","","FC"
